"","collectionunitid","chronologyid","chronologyname","ageboundolder","ageboundyounger","agetype","agemodel"
"294",19448,16391,"Faunmap 2.1",10260,460,"Calendar years BP","Individually dated analysis unit"
"295",19456,16399,"Faunmap 2.1",460,170,"Radiocarbon years BP","directly dated analysis unit"
"296",19460,16403,"Faunmap 2.1",450,270,"Radiocarbon years BP","Directly dated analysis unit"
"297",19470,16413,"Faunmap 2.1",960,790,"Calendar years BP","Individually dated analysis unit"
"298",19559,16502,"Faunmap 2.1",3240,540,"Calendar years BP","Individually dated analysis unit"
"299",20624,17567,"Faunmap 2.1",4090,3450,"Calendar years BP","Individually dated analysis unit"
"300",20626,17569,"Faunmap 2.1",2730,2150,"Calendar years BP","Individually dated analysis unit"
"301",20835,17778,"Faunmap 2.1",970,660,"Calendar years BP","Individually date analysis unit"
"302",21102,18045,"Faunmap 2.1",700,230,"Radiocarbon years BP","directly dated analysis unit"
"303",21106,18049,"Faunmap 2.1",4550,3690,"Radiocarbon years BP","directly dated analysis unit"
"304",21110,18053,"Faunmap 2.1",14500,13500,"Radiocarbon years BP","directly dated analysis unit"
"305",21116,18059,"Faunmap 2.1",650,630,"Calendar years BP","Individually dated analysis unit"
"306",21456,18399,"Faunmap 2.1",4130,3410,"Radiocarbon years BP","directly dated analysis unit"
"307",21459,18404,"Faunmap 2.1",130000,130,"Calendar years BP","Stratigraphic position"
"308",21805,18750,"Faunmap 2.1",3360,2160,"Calendar years BP","Individualloy dated analysis unit"
"309",21824,18769,"Faunmap 2.1",510,110,"Calendar years BP","Individually dated analysis unit"
"310",21866,18811,"Faunmap 2.1",4500,0,"Radiocarbon years BP","directly dated analysis unit"
"311",21872,18817,"Faunmap 2.1",15630,12800,"Radiocarbon years BP","directly dated analysis unit"
"312",22324,19269,"Faunmap 2.1",14930,3380,"Calendar years BP","Individually dated analyysis unit"
"313",22336,19281,"Faunmap 2.1",1465,1295,"Radiocarbon years BP","directly dated analysis unit"
"314",22339,19284,"Faunmap 2.1",945,590,"Radiocarbon years BP","directly dated analysis unit"
"315",22340,19285,"Faunmap 2.1",4540,745,"Radiocarbon years BP","directly dated analysis unit"
"316",22341,19286,"Faunmap 2.1",570,390,"Radiocarbon years BP","directly dated analysis unit"
"317",22673,19618,"Faunmap 2.1",31060,29890,"Calendar years BP","Individually dated analysis unit"
"318",23193,20142,"Neotoma 1",23440,22130,"Calibrated radiocarbon years BP","individually dated"
"319",23295,20244,"Faunmap 2.1",44800,0,"Calendar years BP","Individually dated analysis unit"
"320",23744,20697,"Faunmap 2.1",960,680,"Calendar years BP","Individually dated analysis unit and Cultural association"
"321",23745,20698,"Faunmap 2.1",1050,540,"Calendar years BP","Individually dated analysis unit"
"322",23747,20700,"Faunmap 2.1",3550,3210,"Calendar years BP","Individually dated analysis unit"
"323",23861,20814,"Faunmap 2.1",10690,8770,"Calendar years BP","Individually dated analysis unit"
"324",23861,33121,"Bowers 1",8690,8400,"Radiocarbon years BP","Individually dated analysis units"
"325",24121,21075,"Faunmap 2.1",9410,0,"Calendar years BP","Individually dated analysis unit and stratigraphic"
"326",25507,22461,"Faunmap 2.1",1260,1000,"Radiocarbon years BP","Directly dated analysis unit"
"327",25513,22467,"Faunmap 2.1",2500,2280,"Radiocarbon years BP","Directly dated analysis"
"328",25541,22495,"Faunmap 2.1",480,280,"Radiocarbon years BP","Directly dated analysis unit"
"329",25543,22497,"Faunmap 2.1",1500,1260,"Radiocarbon years BP","Directly dated analysis unit"
"330",25550,22504,"Faunmap 2.1",1300,1160,"Radiocarbon years BP","Directly dated analysis unit"
"331",25553,22507,"Faunmap 2.1",2535,2405,"Radiocarbon years BP","Directly dated analysis unit"
"332",25554,22508,"Faunmap 2.1",885,735,"Radiocarbon years BP","Directly dated analysis unit"
"333",25624,22578,"Faunmap 2.1",3260,1275,"Radiocarbon years BP","Directly dated analysis unit"
"334",25684,22638,"Faunmap 2.1",1340,1200,"Radiocarbon years BP","Directly dated analysis unit"
"335",25687,22641,"Faunmap 2.1",470,330,"Radiocarbon years BP","Directly dated analysis unit"
"336",25765,22718,"Faunmap 2.1",3250,1550,"Radiocarbon years BP","Directly dated analysis unit"
"337",25771,22724,"Faunmap 2.1",2652,80,"Radiocarbon years BP","Directly dated analysis unit"
"338",25783,22736,"Faunmap 2.1",1100,980,"Radiocarbon years BP","Directly dated analysis unit"
"339",25796,22749,"Faunmap 2.1",1870,1115,"Radiocarbon years BP","Directly dated analysis unit"
"340",25806,22759,"Faunmap 2.1",1110,780,"Radiocarbon years BP","Directly dated analysis unit"
"341",25810,22763,"Faunmap 2.1",870,730,"Radiocarbon years BP","Directly dated analysis unit"
"342",25819,22772,"Faunmap 2.1",14690,14470,"Radiocarbon years BP","Directly dated analysis unit"
"343",25823,22776,"Faunmap 2.1",1260,1100,"Radiocarbon years BP","Directly dated analysis unit"
"344",25854,22807,"Faunmap 2.1",310,130,"Radiocarbon years BP","Directly dated analysis unit"
"345",25883,22836,"Faunmap 2.1",840,520,"Radiocarbon years BP","Directly dated analysis unit"
"346",25884,22837,"Faunmap 2.1",480,340,"Radiocarbon years BP","Directly dated analysis unit"
"347",25885,22838,"Faunmap 2.1",1660,1500,"Radiocarbon years BP","Directly dated analysis unit"
"348",26125,23078,"Faunmap 2.1",8500,3285,"Radiocarbon years BP","Directly dated analysis unit"
"349",26127,23080,"Faunmap 2.1",1630,1490,"Radiocarbon years BP","Directly dated analysis unit"
"350",26129,23082,"Faunmap 2.1",9590,9410,"Radiocarbon years BP","Directly dated analysis unit"
"351",26336,23289,"Faunmap 2.1",4850,4550,"Radiocarbon years BP","Directly dated analysis unit"
"352",26345,23298,"Faunmap 2.1",890,730,"Radiocarbon years BP","Directly dated analysis unit"
"353",26370,23323,"Faunmap 2.1",2580,2360,"Radiocarbon years BP","Directly dated analysis units"
"354",26424,23377,"Faunmap 2.1",2635,2465,"Radiocarbon years BP","Directly dated analysis unit"
"355",26427,23380,"Faunmap 2.1",9000,1285,"Radiocarbon years BP","Directly dated analysis unit"
"356",26428,23381,"Faunmap 2.1",2530,1855,"Radiocarbon years BP","Directly dated analysis unit"
"357",26430,23383,"Faunmap 2.1",8250,8110,"Radiocarbon years BP","Directly dated analysis unit"
"358",26437,23390,"Faunmap 2.1",4500,0,"Radiocarbon years BP","Directly dated analysis unit"
"359",26440,23393,"Faunmap 2.1",4405,680,"Radiocarbon years BP","Directly dated analysis unit"
"360",26444,23397,"Faunmap 2.1",750,590,"Radiocarbon years BP","Directly dated analysis unit"
"361",26450,23403,"Faunmap 2.1",770,630,"Radiocarbon years BP","Directly dated analysis unit"
"362",26453,23406,"Faunmap 2.1",7075,3680,"Radiocarbon years BP","Directly dated analysis unit"
"363",26454,23407,"Faunmap 2.1",150000,14000,"Calendar years BP","Land mammal age"
"364",26456,23409,"Faunmap 2.1",940,800,"Radiocarbon years BP","Directly dated analysis unit"
"365",26457,23410,"Faunmap 2.1",2505,1500,"Radiocarbon years BP","Directly dated analysis unit"
"366",26458,23411,"Faunmap 2.1",1520,730,"Calendar years BP","Individually dated analysis unit"
"367",26459,23412,"Faunmap 2.1",3250,515,"Radiocarbon years BP","Directly dated analysis unit"
"368",26469,23422,"Faunmap 2.1",12140,12000,"Radiocarbon years BP","Directly dated analysis unit"
"369",26470,23423,"Faunmap 2.1",3170,2780,"Radiocarbon years BP","Directly dated analysis unit"
"370",26471,23424,"Faunmap 2.1",650,310,"Radiocarbon years BP","Directly dated analysis unit"
"371",26472,23425,"Faunmap 2.1",1690,1550,"Radiocarbon years BP","Directly dated analysis unit"
"372",26474,23427,"Faunmap 2.1",1170,1050,"Radiocarbon years BP","Directly dated analysis unit"
"373",26479,23432,"Faunmap 2.1",32372,7285,"Radiocarbon years BP","Directly dated analysis unit"
"374",26545,23498,"Faunmap 2.1",2640,2520,"Radiocarbon years BP","Directly dated analysis unit"
"375",26569,23522,"Faunmap 2.1",2070,1870,"Radiocarbon years BP","Directly dated analysis unit"
"376",26620,23573,"Faunmap 2.1",39090,21470,"Radiocarbon years BP","Directly dated analysis unit"
"377",26770,23723,"Faunmap 2.1",4510,0,"Radiocarbon years BP","Directly dated analysis unit"
"378",26773,23726,"Faunmap 2.1",1230,1030,"Radiocarbon years BP","Directly dated analysis unit"
"379",26775,23728,"Faunmap 2.1",15080,14050,"Radiocarbon years BP","Directly dated analysis unit"
"380",26796,23748,"Faunmap 2.1",510,350,"Radiocarbon years BP","Directly dated analysis unit"
"381",26803,23754,"Faunmap 2.1",635,485,"Radiocarbon years BP","Directly dated analysis unit"
"382",26805,23756,"Faunmap 2.1",715,555,"Radiocarbon years BP","Directly dated analysis unit"
"383",26810,23761,"Faunmap 2.1",3490,3390,"Radiocarbon years BP","Directly dated analysis unit"
"384",26815,23766,"Faunmap 2.1",3890,3710,"Radiocarbon years BP","Directly dated analysis unit"
"385",26816,23767,"Faunmap 2.1",4500,0,"Calendar years BP","Stratigraphic position"
"386",26817,23768,"Faunmap 2.1",660,460,"Radiocarbon years BP","Directly dated analysis unit"
"387",26818,23769,"Faunmap 2.1",830,670,"Radiocarbon years BP","Directly dated analysis unit"
"388",26829,23780,"Faunmap 2.1",11540,11380,"Radiocarbon years BP","Directly dated analysis unit"
"389",26834,23785,"Faunmap 2.1",670,570,"Radiocarbon years BP","Directly dated analysis unit"
"390",26840,23791,"Faunmap 2.1",5765,2805,"Radiocarbon years BP","Directly dated analysis unit"
"391",26842,23793,"Faunmap 2.1",2658,2558,"Radiocarbon years BP","Directly dated analysis unit"
"392",26843,23794,"Faunmap 2.1",12550,9400,"Radiocarbon years BP","Directly dated analysis unit"
"393",26848,23799,"Faunmap 2.1",1420,1100,"Radiocarbon years BP","Directly dated analysis unit"
"394",26853,23804,"Faunmap 2.1",4120,1060,"Radiocarbon years BP","Directly dated analysis unit"
"395",26858,23809,"Faunmap 2.1",1830,20,"Radiocarbon years BP","Directly dated analysis unit"
"396",26864,23815,"Faunmap 2.1",2619,2513,"Radiocarbon years BP","Directly dated analysis unit"
"397",26865,23816,"Faunmap 2.1",1580,665,"Radiocarbon years BP","Directly dated analysis unit"
"398",26870,23820,"Faunmap 2.1",580,380,"Radiocarbon years BP","Directly dated analysis unit"
"399",26871,23821,"Faunmap 2.1",590,430,"Radiocarbon years BP","Directly dated analysis unit"
"400",26873,23823,"Faunmap 2.1",460,190,"Radiocarbon years BP","Directly dated analysis unit"
"401",26874,23824,"Faunmap 2.1",3600,550,"Radiocarbon years BP","Directly dated analysis unit"
"402",26878,23828,"Faunmap 2.1",1610,1010,"Radiocarbon years BP","Directly dated analysis unit"
"403",26884,23833,"Neotoma 1",23900,23470,"Calibrated radiocarbon years BP","individually dated analysis unit"
"404",26918,23865,"Faunmap 2.1",11255,7100,"Radiocarbon years BP","Directly dated analysis unit"
"405",26999,23948,"Faunmap 2.1",130000,530,"Calendar years BP","Individually dated analysis unit and Stratigraphic"
"406",27098,24060,"Faunmap 2.1",850000,820000,"Calendar years BP","Land Mammal Age"
"407",27102,24064,"Neotoma 1",60000,0,"Calibrated radiocarbon years BP","Individually dated specimens"
"408",27103,24073,"Faunmap 2.1",1270,980,"Calendar years BP","Individually dated analysis unit"
"409",27122,24097,"Faunmap 2.1",4300,3490,"Calendar years BP","Directly dated analysis unit"
"410",27129,24109,"Faunmap 2.1",910,510,"Calendar years BP","Directly dated analysis unit"
"411",27201,24187,"Neotoma 1",24950,20690,"Calibrated radiocarbon years BP","individually dated specimens"
"412",27205,24197,"Faunmap 2.1",1400,780,"Radiocarbon years BP","directly dated specimen"
"413",27212,24219,"Faunmap 2.1",2750,600,"Calendar years BP","Directly dated analysis unit"
"414",27213,24220,"Faunmap 2.1",2300,0,"Calendar years BP","Cultural association"
"415",27217,24224,"Faunmap 2.1",685,535,"Radiocarbon years BP","directly dated assemblage"
"416",27236,24255,"Faunmap 2.1",4500,0,"Radiocarbon years BP","Directly dated analysis unit"
"417",27272,24291,"Faunmap 2.1",1270,1090,"Radiocarbon years BP","Directly dated analysis unit"
"418",27274,24293,"Faunmap 2.1",15610,13910,"Radiocarbon years BP","Directly dated analysis unit"
"419",27276,24295,"Faunmap 2.1",660,460,"Radiocarbon years BP","Directly dated analysis unit"
"420",27278,24297,"Faunmap 2.1",2377,2111,"Radiocarbon years BP","Directly dated analysis unit"
"421",27281,24300,"Faunmap 2.1",15100,13500,"Radiocarbon years BP","Directly dated analysis unit"
"422",27284,24303,"Faunmap 2.1",1520,960,"Radiocarbon years BP","Directly dated analysis unit"
"423",27286,24305,"Faunmap 2.1",39000,17405,"Radiocarbon years BP","Directly dated analysis unit"
"424",27287,24306,"Faunmap 2.1",4865,630,"Radiocarbon years BP","Directly dated analysis unit"
"425",27314,24333,"Faunmap 2.1",1308,1190,"Radiocarbon years BP","Directly dated analysis unit"
"426",27585,24436,"Faunmap 2.1",150000,14000,"Calendar years BP","Land Mammal Age"
"427",27693,24444,"Faunmap 2.1",940,550,"Calendar years BP","Individually dated analysis unit"
"428",27865,24461,"Faunmap 2.1",530,0,"Calendar years BP","Individually dated analysis unit"
"429",27946,24465,"Faunmap 2.1",2050,790,"Calendar years BP","Individually dated analysis unit"
"430",27950,24468,"Faunmap 2.1",33540,11260,"Calendar years BP","Individually dated analysis unit"
"431",28026,24494,"Faunmap 2.1",4010,195,"Radiocarbon years BP","Directly dated analysis unit"
"432",28043,24509,"Faunmap 2.1",2840,0,"Calendar years BP","Individually dated analysis unit"
"433",28048,24519,"Faunmap 2.1",4090,3590,"Calendar years BP","Individually dated analysis unit"
"434",28052,24529,"Faunmap 2.1",15320,12100,"Radiocarbon years BP","Directly dated analysis unit"
"435",28054,24530,"Faunmap 2.1",23020,21010,"Calendar years BP","Individually dated analysis unit"
"436",28055,24531,"Faunmap 2.1",33380,24880,"Calendar years BP","Individually dated analysis unit"
"437",28056,24533,"Faunmap 2.1",1180,520,"Calendar years BP","Individually dated analysis unit"
"438",28057,24534,"Faunmap 2.1",910,0,"Calendar years BP","Individually dated analysis unit"
"439",28058,24535,"Faunmap 2.1",790,540,"Calendar years BP","Individually dated analysis unit"
"440",28060,24540,"Faunmap 2.1",15240,14040,"Calendar years BP","Individually dated analysis unit"
"441",28068,24547,"Faunmap 2.1",2020,370,"Radiocarbon years BP","Directly dated analysis unit"
"442",28073,24552,"Faunmap 2.1",1995,1725,"Radiocarbon years BP","Directly dated analysis unit"
"443",28076,24555,"Faunmap 2.1",990,810,"Radiocarbon years BP","Directly dated analysis unit"
"444",28077,24556,"Faunmap 2.1",1810,530,"Calendar years BP","Individually dated analysis unit"
"445",28103,24622,"Faunmap 2.1",4565,230,"Radiocarbon years BP","Directly dated analysis unit"
"446",28107,24626,"Faunmap 2.1",42580,16770,"Calendar years BP","Individually dated analysis unit"
"447",28108,24627,"Faunmap 2.1",15130,14610,"Radiocarbon years BP","Directly dated analysis unit"
"448",28115,24634,"Faunmap 2.1",9750,9430,"Radiocarbon years BP","Directly dated analysis unit"
"449",28151,24673,"Faunmap 2.1",1025,770,"Radiocarbon years BP","Directly dated analysis unit"
"450",28166,24704,"Faunmap 2.1",150000,14000,"Calendar years BP","Land mammal age"
"451",28171,24709,"Faunmap 2.1",490,0,"Calendar years BP","Individually dated analysis unit"
"452",28175,24713,"Faunmap 2.1",11210,10570,"Calendar years BP","Individually dated analysis unit"
"453",28177,24715,"Faunmap 2.1",13410,12710,"Calendar years BP","Individually dated analysis unt"
"454",28185,24725,"Faunmap 2.1",1300,1070,"Calendar years BP","Individually dated analysis unit"
"455",28193,24734,"Faunmap 2.1",2150,200,"Calendar years BP","Individually dated analysis unit"
"456",28196,24737,"Faunmap 2.1",475,315,"Radiocarbon years BP","Directly dated analysis unit"
"457",28199,24740,"Faunmap 2.1",2580,305,"Radiocarbon years BP","Directly dated analysis unit"
"458",28203,24744,"Faunmap 2.1",2430,2310,"Radiocarbon years BP","Directly dated analysis unit"
"459",28204,24745,"Faunmap 2.1",1230,1070,"Radiocarbon years BP","Directly dated analysis unit"
"460",28207,24748,"Faunmap 2.1",3210,540,"Calendar years BP","Individually dated analysis unit"
"461",28258,24799,"Faunmap 2.1",1570,670,"Calendar years BP","Individually dated analysis unit"
"462",28259,24800,"Faunmap 2.1",4870,4070,"Radiocarbon years BP","Directly dated analysis unit"
"463",28261,24802,"Faunmap 2.1",540,380,"Radiocarbon years BP","Directly dated analysis unit"
"464",28262,24803,"Faunmap 2.1",2040,1410,"Calendar years BP","Individually dated analysis unit"
"465",28263,24804,"Faunmap 2.1",830,45,"Radiocarbon years BP","Directly dated analysis unit"
"466",28264,24805,"Faunmap 2.1",240,60,"Radiocarbon years BP","Directly dated analysis unit"
"467",28265,24806,"Faunmap 2.1",46700,22380,"Radiocarbon years BP","Directly dated analysis unit"
"468",28266,24807,"Faunmap 2.1",1360,1000,"Radiocarbon years BP","Directly dated analysis unit"
"469",28272,24813,"Faunmap 2.1",7440,6290,"Calendar years BP","Individually dated analysis unit"
"470",28273,24814,"Faunmap 2.1",7420,6280,"Calendar years BP","Individually dated analysis unit"
"471",28276,24817,"Faunmap 2.1",11800,0,"Calendar years BP","Stratigraphic position"
"472",28278,24819,"Faunmap 2.1",2120,1400,"Calendar years BP","Individually dated analysis unit"
"473",28292,24832,"Faunmap 2.1",4465,1530,"Radiocarbon years BP","Directly dated analysis unit"
"474",28310,24852,"Faunmap 2.1",5000,100,"Calendar years BP","Stratigraphic position"
"475",28314,24876,"Faunmap 2.1",890,810,"Radiocarbon years BP","directly dated assemblage"
"476",28318,24880,"Faunmap 2.1",15900,10560,"Radiocarbon years BP","directly dated analysis unit"
"477",28319,24881,"Faunmap 2.1",7300,3420,"Radiocarbon years BP","Directly dated analysis unit"
"478",28320,24882,"Faunmap 2.1",15370,700,"Radiocarbon years BP","Directly dated assemblage"
"479",28321,24883,"Faunmap 2.1",13980,13840,"Radiocarbon years BP","Directly dated analysis unit"
"480",28325,24887,"Faunmap 2.1",10000,2140,"Calendar years BP","directly dated assemblage"
"481",28328,24890,"Faunmap 2.1",3105,145,"Radiocarbon years BP","Directly dated analysis unit"
"482",28329,24891,"Faunmap 2.1",710,125,"Radiocarbon years BP","Directly dated analysis unit"
"483",28332,24894,"Faunmap 2.1",2380,2240,"Radiocarbon years BP","Directly dated analysis unit"
"484",28336,24898,"Faunmap 2.1",17970,15080,"Calendar years BP","Individually dated analysis unit"
"485",28338,24900,"Faunmap 2.1",1180,730,"Calendar years BP","Individually dated analysis unit"
"486",28342,24904,"Faunmap 2.1",6915,2230,"Radiocarbon years BP","Directly dated analysis unit"
"487",28344,24906,"Faunmap 2.1",5310,3255,"Radiocarbon years BP","Directly dated analysis unit"
"488",28345,24907,"Faunmap 2.1",4970,1020,"Radiocarbon years BP","Directly dated analysis unit"
"489",28349,24911,"Faunmap 2.1",1525,300,"Radiocarbon years BP","Directly dated analysis unit"
"490",28355,24917,"Faunmap 2.1",5900,0,"Calendar years BP","directly dated analysis unit"
"491",28356,24918,"Faunmap 2.1",4500,0,"Calendar years BP","Directly dated analysis units"
"492",28363,24925,"Faunmap 2.1",4500,0,"Radiocarbon years BP","Directly dated analysis unit"
"493",28371,24933,"Faunmap 2.1",900,540,"Radiocarbon years BP","Directly dated analysis unit"
"494",28372,24934,"Faunmap 2.1",11800,8810,"Radiocarbon years BP","Directly dated analysis unit"
"495",28375,24938,"Faunmap 2.1",4840,3000,"Calendar years BP","Individually dated analysis unit and Cultural association"
"496",28382,24945,"Faunmap 2.1",29000,11800,"Radiocarbon years BP","Directly dated analysis unit"
"497",28395,24967,"Faunmap 2.1",1685,1690,"Calendar years AD/BC","Historic documentation"
"498",28397,24969,"Faunmap 2.1",172550,9510,"Calendar years BP","Individually dated analysis unit"
"499",28398,24970,"Faunmap 2.1",310,0,"Calendar years BP","Individually dated analysis unit"
"500",28399,24971,"Faunmap 2.1",5280,4440,"Calendar years BP","Individually dated analysis unit"
"501",28442,25145,"Faunmap 2.1",585,305,"Radiocarbon years BP","Directly dated analysis unit"
"502",28443,25146,"Faunmap 2.1",5760,510,"Radiocarbon years BP","Directly dated analysis unit"
"503",28446,25149,"Faunmap 2.1",240,120,"Radiocarbon years BP","directly dated assemblafe"
"504",28449,25152,"Faunmap 2.1",2570,2150,"Radiocarbon years BP","Directly dated analysis unit"
"505",28453,25156,"Faunmap 2.1",290,100,"Radiocarbon years BP","Directly dated analysis unit"
"506",28458,25160,"Faunmap 2.1",50000,11800,"Calendar years BP","directly dated assemblage"
"507",28465,25167,"Faunmap 2.1",1510,680,"Radiocarbon years BP","Directly dated analysis unit"
"508",28467,25169,"Faunmap 2.1",34600,28200,"Radiocarbon years BP","Directly dated analysis unit"
"509",28508,25268,"Neotoma 1",10200,8170,"Calibrated radiocarbon years BP","Individually dated analysis unit"
"510",28546,25341,"Neotoma 2",504,331,"Calibrated radiocarbon years BP","OxCal combined dates"
"511",28667,25508,"Faunmap 2.1",2450,520,"Radiocarbon years BP","directly dated assemblage"
"512",28669,25512,"Faunmap 2.1",1250,850,"Radiocarbon years BP","individually dated analysis units"
"513",28712,25578,"Neotoma 1",15260,13850,"Calibrated radiocarbon years BP","individually dated analysis unit"
"514",28713,25579,"Neotoma 1",20250,13360,"Calibrated radiocarbon years BP","individually dated analysis unit"
"515",28715,25581,"Neotoma 1",18980,17980,"Calibrated radiocarbon years BP","individually dated analysis unit"
"516",28716,25582,"Neotoma 1",2110,1630,"Calibrated radiocarbon years BP","individually dated analysis unit"
"517",28719,25595,"Neotoma 1",2930,2540,"Calibrated radiocarbon years BP","individually dated analysis unit"
"518",29686,26801,"EeBi-2",4720,3950,"Radiocarbon years BP","individual aalysis unit"
"519",31851,29243,"Faunmap 2.1",4500,0,"Radiocarbon years BP","Directly dated analysis unit"
"520",33310,32233,"Collection date",-67,-67,"Calendar years BP","collection date"
"521",33311,32242,"Collection date",-67,-67,"Calendar years BP","collection date"
"522",33314,32245,"Collection date",-67,-67,"Calendar years BP","collection date"
"523",34082,33127,"Bowers 1",1705,320,"Calibrated radiocarbon years BP","Individually dated analysis unit"
"524",34084,33129,"Bowers 3",780,670,"Calibrated radiocarbon years BP","Individually dated analysis unit"
"525",35065,34276,"FAUNMAP",980,910,"Calibrated radiocarbon years BP","individually dated analysis unit"
"526",35068,34279,"FAUNMAP 1",6922,5640,"Calibrated radiocarbon years BP","OxCal phase model"
"527",35331,34630,"Tremayne",4095,3955,"Calibrated radiocarbon years BP","Individually dated analysis unit"
"528",35334,34633,"Clarke",550,765,"Calendar years AD/BC","Individually dated analysis unit"
"529",35335,34634,"Clarke",550,765,"Calendar years AD/BC","Individually dated analysis unit"
"530",35336,34635,"Clarke",550,765,"Calendar years AD/BC","Individually dated analysis unit"
"531",35355,37867,"Neotoma 1",14410,10670,"Radiocarbon years BP","Individually dated"
"532",35373,37864,"Neotoma 1",13170,9880,"Radiocarbon years BP","Individually dated"
"533",35375,37865,"Neotoma 1",10090,9970,"Radiocarbon years BP","Individually dated"
"534",35377,37863,"Neotoma 1",47200,13170,"Radiocarbon years BP","Individually dated"
"535",35450,37861,"Neotoma 1",5590,5470,"Radiocarbon years BP","Individually dated"
"536",39736,38868,"PaVeLA1",130000,0,"Calendar years BP","Geologic time scale boundaries"
"537",40078,39129,"PaVeLA 2",22970,4500,"Calibrated radiocarbon years BP","Individually dated analysis units"
"538",40082,39133,"PaVeLA 1",3150,2850,"Calendar years BP","Age of occupation at site"
"539",40097,39149,"PaVeLA 1",10700,8620,"Calendar years BP","Age based on North American Archaeological time scale"
"540",40104,39156,"PaVeLA 1",11750,1380,"Calibrated radiocarbon years BP","Artifact dated boundaries of cave occupation"
"541",40117,39166,"PaVeLA 1",150000,14000,"Calendar years BP","Author defined"
"542",40571,39648,"PaVeLA1",11700,-20,"Calendar years BP","Geologic time scale"
"543",41331,40356,"PaVeLA 1",12971,921,"Calibrated radiocarbon years BP","Author generated age boundaries"
"544",41509,40540,"PaVeLA 1",33228,28279,"Calibrated radiocarbon years BP","Bayesian phase model"
"545",41641,40648,"Large scale",2600000,6000,"Calendar years BP","Geologic age range"
"546",41922,40898,"Author preferred",130000,45000,"Calendar years BP","Author assigned age boundaries"
"547",42137,41112,"Author defined",7870,710,"Calibrated radiocarbon years BP","Radiocarbon dates"
"548",42143,41116,"Norton",2390,1890,"Calibrated radiocarbon years BP","Tremayne et al 2018"
"549",42144,41117,"Midden",13080,10220,"Calibrated radiocarbon years BP","Individually date analysis units"
"550",42146,41122,"Coffman et al 2",1675,1840,"Calendar years AD/BC","Individually dated analysis unit"
"551",42149,41125,"Fea 87",1277,1445,"Calendar years AD/BC","Individually dated analysis units"
"552",42151,41127,"Quargi",1320,1190,"Radiocarbon years BP","Individually dated analysis unit"
"553",42177,41145,"Norton Midden",2353,1991,"Calibrated radiocarbon years BP","Individually dated analysis unit"
"554",42591,41543,"Neotoma 1",2310,910,"Calibrated radiocarbon years BP","Individually dated units"
"555",42599,41551,"Neotoma 1",29900,0,"Calibrated radiocarbon years BP","Individually dated units"
"556",43127,42075,"Neotoma 1",44940,1990,"Radiocarbon years BP","Individually dated specimens"
"557",43578,42541,"Faunmap 2.1",9840,9840,"Radiocarbon years BP","directly dated assemblage"
"558",43580,42543,"FAUNMAP 1.1",1150,950,"Radiocarbon years BP","Individually dated analysis units"
"559",43646,42599,"FAUNMAP 1.1",14500,200,"Radiocarbon years BP","Individually dated analysis units"
"560",43647,42600,"FAUNMAP 1.1",10000,8000,"Radiocarbon years BP","Individually dated analysis units"
"561",43650,42601,"Faunmap 2.1",29000,11800,"Calendar years BP","Stratigraphic position"
"562",43651,42602,"Faunmap 2.1",2580000,560,"Calendar years BP","Individually dated analysis unit"
"563",4414,2038,"FAUNMAP 1.1",11980,1450,"Radiocarbon years BP","Individually dated analysis units"
"564",4415,2039,"FAUNMAP 1.1",11200,8400,"Radiocarbon years BP","Individually dated analysis units"
"565",4416,2040,"FAUNMAP 1.1",10020,10020,"Radiocarbon years BP","Individually dated analysis units"
"566",4417,2041,"FAUNMAP 1.1",16630,7880,"Radiocarbon years BP","Individually dated analysis units"
"567",4419,2043,"FAUNMAP 1.1",25000,4950,"Radiocarbon years BP","Individually dated analysis units"
"568",4420,2044,"FAUNMAP 1.1",550,550,"Radiocarbon years BP","Individually dated analysis units"
"569",4421,2045,"FAUNMAP 1.1",650,580,"Radiocarbon years BP","Individually dated analysis units"
"570",4422,2046,"FAUNMAP 1.1",700,500,"Radiocarbon years BP","Individually dated analysis units"
"571",4423,2047,"FAUNMAP 1.1",700,500,"Radiocarbon years BP","Individually dated analysis units"
"572",4424,2048,"FAUNMAP 1.1",8985,8985,"Radiocarbon years BP","Individually dated analysis units"
"573",4425,2049,"FAUNMAP 1.1",1830,1,"Radiocarbon years BP","Individually dated analysis units"
"574",4426,2050,"FAUNMAP 1.1",35000,160,"Radiocarbon years BP","Individually dated analysis units"
"575",4427,2051,"FAUNMAP 1.1",16630,7880,"Radiocarbon years BP","Individually dated analysis units"
"576",4430,2054,"FAUNMAP 1.1",10000,2230,"Radiocarbon years BP","Individually dated analysis units"
"577",4431,2055,"FAUNMAP 1.1",10000,2230,"Radiocarbon years BP","Individually dated analysis units"
"578",4432,2056,"FAUNMAP 1.1",10000,2230,"Radiocarbon years BP","Individually dated analysis units"
"579",4433,2057,"FAUNMAP 1.1",16830,10000,"Radiocarbon years BP","Individually dated analysis units"
"580",4435,2059,"FAUNMAP 1.1",10230,10230,"Radiocarbon years BP","Individually dated analysis units"
"581",4437,2061,"FAUNMAP 1.1",11580,7000,"Radiocarbon years BP","Individually dated analysis units"
"582",4438,2062,"FAUNMAP 1.1",4150,1,"Radiocarbon years BP","Individually dated analysis units"
"583",4439,2063,"FAUNMAP 1.1",13500,10000,"Radiocarbon years BP","Individually dated analysis units"
