ndb.sites.siteid,ndb.sites.sitename,ndb.publications.publicationid,doi,isbn,ndb.publications.citation,ndb.publications.pubtypeid,ndb.collectionunits.collectionunitid,ndb.collectionunits.handle,discovery,ndb.analysisunits.analysisunitid,ndb.analysisunits.analysisunitname,ndb.geochronology.geochronid,ndb.geochronology.labnumber,ndb.geochronology.age,ndb.geochronology.errorolder,ndb.geochronology.erroryounger,ndb.geochronology.infinite,ndb.geochronology.materialdated,taxonname,ndb.variables.taxonid,elementdated,ndb.variables.variableelementid,ndb.repositoryinstitutions.repositoryid,repository,acronym,ndb.specimens.specimennr,ndb.geochronology.depth,ndb.geochronology.notes,ndb.radiocarbon.radiocarbonmethodid,ndb.radiocarbon.d13C,ndb.radiocarbon.d15N,ndb.radiocarbon.C:N,rejected,ndb.geochronology.agetypeid,ndb.geochronology.geochrontypeid,human,validationnotes,geochronologyid,datasetid,sampleid,identifier_check,ndb.datasets.datasetid,geochrondsid_check,ndb.samples.sampleid,valid_geochron
4132,Prairie Dog Hamlet [5MT4614],NA,10.1017/S0033822200044131,NA,NA,NA,5074,PRDGHMLT,literature search,81198,Assemblage,52364,Tx-3880,1590,90,90,FALSE,charcoal,NA,NA,NA,NA,NA,NA,NA,NA,NA,date rejected as inconsistent with ceramics and architecture,2,NA,NA,NA,TRUE,4,2,FALSE,NA,NA,NA,NA,Valid,61382,Valid (existing),679854,Valid
4144,Aldea Sierritas [5MT2854],NA,10.1017/S0033822200044131,NA,NA,NA,5086,ALDESIER,literature search,81216,Assemblage,52365,Tx-3883,1680,60,60,FALSE,charcoal,NA,NA,NA,NA,NA,NA,NA,NA,NA,date rejected as inconsistent with ceramics and architecture,2,NA,NA,NA,TRUE,4,2,FALSE,NA,NA,NA,NA,Valid,61383,Valid (added),679855,Valid
4144,Aldea Sierritas [5MT2854],NA,10.1017/S0033822200044131,NA,NA,NA,5086,ALDESIER,literature search,81216,Assemblage,52366,Tx-3884,1620,60,60,FALSE,charcoal,NA,NA,NA,NA,NA,NA,NA,NA,NA,date rejected as inconsistent with ceramics and architecture,2,NA,NA,NA,TRUE,4,2,FALSE,NA,NA,NA,NA,Valid,61383,Valid (existing),679856,Valid
4212,Pretty Head [39LM232],NA,10.1017/S0033822200000631,NA,NA,NA,5181,PRETTYHD,literature search,81317,Assemblage,52367,SI-165,520,80,80,FALSE,juniper wood,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,4,2,FALSE,NA,NA,NA,NA,Valid,61384,Valid (added),679857,Valid
4212,Pretty Head [39LM232],NA,10.1017/S0033822200000631,NA,NA,NA,5181,PRETTYHD,literature search,81317,Assemblage,52368,SI-166,650,140,140,FALSE,juniper wood,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,4,2,FALSE,NA,NA,NA,NA,Valid,61384,Valid (existing),679858,Valid
4212,Pretty Head [39LM232],NA,NA,NA,"Johnson, Craig, Stanley A. Ahler, Herbert Haas, and Georges Bonani. (2007) ""A chronology of middle Missouri Plains village sites."" Smithsonian Contributions to Anthropology 47, Smithsonian Institution Scholarly Press, Washington, D.C.",3,5181,PRETTYHD,literature search,81317,Assemblage,52369,SMU-2734,1002,42,42,FALSE,charred wood,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,4,2,FALSE,NA,NA,NA,NA,Valid,61384,Valid (existing),679859,Valid
4221,Bear Creek Shelter [41HI17],NA,10.1017/S0033822200004392,NA,NA,NA,5190,BEARCRSH,literature search,81329,Toyah,52370,Tx-2939,630,50,50,FALSE,charcoal,NA,NA,NA,NA,NA,NA,NA,NA,70-80cm,NA,2,NA,NA,NA,NA,4,2,FALSE,NA,NA,NA,NA,Valid,61385,Valid (added),679860,Valid
4221,Bear Creek Shelter [41HI17],NA,10.1017/S0033822200004392,NA,NA,NA,5190,BEARCRSH,literature search,81326,Austin Focus,52371,Tx-2960,1130,50,50,FALSE,charcoal,NA,NA,NA,NA,NA,NA,NA,NA,150-160cm,NA,2,NA,NA,NA,NA,4,2,FALSE,NA,NA,NA,NA,Valid,61385,Valid (existing),679861,Valid
4221,Bear Creek Shelter [41HI17],NA,10.1017/S0033822200004392,NA,NA,NA,5190,BEARCRSH,literature search,81326,Austin Focus,52372,Tx-2961,1030,50,50,FALSE,charcoal,NA,NA,NA,NA,NA,NA,NA,NA,140-150cm,NA,2,NA,NA,NA,NA,4,2,FALSE,NA,NA,NA,NA,Valid,61385,Valid (existing),679862,Valid
4221,Bear Creek Shelter [41HI17],NA,10.1017/S0033822200004392,NA,NA,NA,5190,BEARCRSH,literature search,81326,Austin Focus,52373,Tx-2962,950,50,50,FALSE,charcoal,NA,NA,NA,NA,NA,NA,NA,NA,100-110cm,NA,2,NA,NA,NA,NA,4,2,FALSE,NA,NA,NA,NA,Valid,61385,Valid (existing),679863,Valid
4221,Bear Creek Shelter [41HI17],NA,10.1017/S0033822200004392,NA,NA,NA,5190,BEARCRSH,literature search,81331,Transitional Archaic Zone I,52374,Tx-2941,1340,60,60,FALSE,charcoal,NA,NA,NA,NA,NA,NA,NA,NA,140-150cm,NA,2,NA,NA,NA,NA,4,2,FALSE,NA,NA,NA,NA,Valid,61385,Valid (existing),679864,Valid
4221,Bear Creek Shelter [41HI17],NA,10.1017/S0033822200004392,NA,NA,NA,5190,BEARCRSH,literature search,81331,Transitional Archaic Zone I,52375,Tx-2942,1570,60,60,FALSE,charcoal,NA,NA,NA,NA,NA,NA,NA,NA,140-150cm,NA,2,NA,NA,NA,NA,4,2,FALSE,NA,NA,NA,NA,Valid,61385,Valid (existing),679865,Valid
4221,Bear Creek Shelter [41HI17],NA,10.1017/S0033822200004392,NA,NA,NA,5190,BEARCRSH,literature search,81326,Austin Focus,52376,Tx-2940,1380,100,100,FALSE,charcoal,NA,NA,NA,NA,NA,NA,NA,NA,110-120cm,NA,2,NA,NA,NA,NA,4,2,FALSE,NA,NA,NA,NA,Valid,61385,Valid (existing),679866,Valid
4221,Bear Creek Shelter [41HI17],NA,10.1017/S0033822200004392,NA,NA,NA,5190,BEARCRSH,literature search,81329,Toyah,52377,Tx-2963,770,100,100,FALSE,charcoal,NA,NA,NA,NA,NA,NA,NA,NA,90-100cm,NA,2,NA,NA,NA,NA,4,2,FALSE,NA,NA,NA,NA,Valid,61385,Valid (existing),679867,Valid
4221,Bear Creek Shelter [41HI17],NA,10.1017/S0033822200004392,NA,NA,NA,5190,BEARCRSH,literature search,81327,Late Archaic,52378,Tx-2958,4150,140,140,FALSE,charcoal,NA,NA,NA,NA,NA,NA,NA,NA,240-250cm,NA,2,NA,NA,NA,NA,4,2,FALSE,NA,NA,NA,NA,Valid,61385,Valid (existing),679868,Valid
4221,Bear Creek Shelter [41HI17],NA,10.1017/S0033822200004392,NA,NA,NA,5190,BEARCRSH,literature search,81332,Transitional Archaic Zone II,52379,Tx-2964,1770,140,140,FALSE,charcoal,NA,NA,NA,NA,NA,NA,NA,NA,170-180cm,NA,2,NA,NA,NA,NA,4,2,FALSE,NA,NA,NA,NA,Valid,61385,Valid (existing),679869,Valid
4221,Bear Creek Shelter [41HI17],NA,10.1017/S0033822200004392,NA,NA,NA,5190,BEARCRSH,literature search,81330,Transitional,52380,Tx-2959,2110,150,150,FALSE,charcoal,NA,NA,NA,NA,NA,NA,NA,NA,220-230cm,NA,2,NA,NA,NA,NA,4,2,FALSE,NA,NA,NA,NA,Valid,61385,Valid (existing),679870,Valid
4221,Bear Creek Shelter [41HI17],NA,10.1017/S0033822200004392,NA,NA,NA,5190,BEARCRSH,literature search,81327,Late Archaic,52381,Tx-2965,2380,220,220,FALSE,charcoal,NA,NA,NA,NA,NA,NA,NA,NA,250-260cm,NA,2,NA,NA,NA,NA,4,2,FALSE,NA,NA,NA,NA,Valid,61385,Valid (existing),679871,Valid
4246,Laubach Cave No. 5 [Inner Space Cavern],NA,10.1016/j.quaint.2004.04.016,NA,NA,NA,5215,LAUBACH5,literature search,81375,Assemblage,52382,TX-1419,28340,1710,1710,FALSE,"bone, Proboscidea",Proboscidea,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,4,2,FALSE,NA,NA,NA,NA,Valid,61386,Valid (added),679872,Valid
4251,Fern Cave,16894,NA,NA,NA,NA,5220,FERNCAVE,researcher contributed,355376,Bone Dome Pit Ledge 2,52383,CAMS-22035,11840,50,50,FALSE,"bone collagen, Dasypus bellus Osteoderm",Dasypus bellus,NA,Osteoderm,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,4,2,FALSE,NA,NA,NA,NA,Valid,61387,Valid (added),679873,Valid
4330,Kincaid Shelter [41UV2],NA,10.1017/S0033822200036493,NA,NA,NA,5331,KINCADSH,literature search,81560,Zone 5,52384,Tx-5,1045,55,55,FALSE,charcoal,NA,NA,NA,NA,NA,NA,NA,NA,30-36 in,NA,2,NA,NA,NA,NA,4,2,FALSE,NA,NA,NA,NA,Valid,9670,Valid (existing),679874,Valid
4330,Kincaid Shelter [41UV2],NA,10.1017/S0033822200036493,NA,NA,NA,5331,KINCADSH,literature search,81560,Zone 5,52385,Tx-6,1120,60,60,FALSE,charcoal,NA,NA,NA,NA,NA,NA,NA,NA,30-36 in,NA,2,NA,NA,NA,NA,4,2,FALSE,NA,NA,NA,NA,Valid,9670,Valid (existing),679875,Valid
4330,Kincaid Shelter [41UV2],NA,10.1017/S0033822200036493,NA,NA,NA,5331,KINCADSH,literature search,81560,Zone 5,52386,Tx-20,10365,110,110,FALSE,snail shells,NA,NA,NA,NA,NA,NA,NA,NA,96-102 in,NA,2,NA,NA,NA,NA,4,2,FALSE,NA,NA,NA,NA,Valid,9670,Valid (existing),679876,Valid
4330,Kincaid Shelter [41UV2],NA,10.1017/S0033822200036493,NA,NA,NA,5331,KINCADSH,literature search,81560,Zone 5,52387,Tx-12,1765,145,145,FALSE,charcoal,NA,NA,NA,NA,NA,NA,NA,NA,66-72 in,NA,2,NA,NA,NA,NA,4,2,FALSE,NA,NA,NA,NA,Valid,9670,Valid (existing),679877,Valid
4330,Kincaid Shelter [41UV2],NA,10.1017/S0033822200036493,NA,NA,NA,5331,KINCADSH,literature search,81560,Zone 5,52388,Tx-18,9110,155,155,FALSE,snail shells,NA,NA,NA,NA,NA,NA,NA,NA,84-90 in,NA,2,NA,NA,NA,NA,4,2,FALSE,NA,NA,NA,NA,Valid,9670,Valid (existing),679878,Valid
4330,Kincaid Shelter [41UV2],NA,10.1017/S0033822200036493,NA,NA,NA,5331,KINCADSH,literature search,81560,Zone 5,52389,Tx-17,10025,185,185,FALSE,snail shells,NA,NA,NA,NA,NA,NA,NA,NA,84-90 in,NA,2,NA,NA,NA,NA,4,2,FALSE,NA,NA,NA,NA,Valid,9670,Valid (existing),679879,Valid
4330,Kincaid Shelter [41UV2],NA,10.1017/S0033822200036493,NA,NA,NA,5331,KINCADSH,literature search,81560,Zone 5,52390,Tx-19,10065,185,185,FALSE,snail shells,NA,NA,NA,NA,NA,NA,NA,NA,90-96 in,NA,2,NA,NA,NA,NA,4,2,FALSE,NA,NA,NA,NA,Valid,9670,Valid (existing),679880,Valid
4330,Kincaid Shelter [41UV2],NA,10.1017/S0033822200036493,NA,NA,NA,5331,KINCADSH,literature search,81560,Zone 5,52391,Tx-13,6695,360,360,FALSE,"charcoal, snail shells",NA,NA,NA,NA,NA,NA,NA,NA,12-18 in,NA,2,NA,NA,NA,NA,4,2,FALSE,NA,NA,NA,NA,Valid,9670,Valid (existing),679881,Valid
4330,Kincaid Shelter [41UV2],NA,10.1017/S0033822200037280,NA,NA,NA,5331,KINCADSH,literature search,81560,Zone 5,52392,Tx-213,750,130,130,FALSE,charcoal,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,4,2,FALSE,NA,NA,NA,NA,Valid,9670,Valid (existing),679882,Valid
4330,Kincaid Shelter [41UV2],NA,10.1017/S0033822200037280,NA,NA,NA,5331,KINCADSH,literature search,81560,Zone 5,52393,Tx-212,1300,260,260,FALSE,charcoal,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,4,2,FALSE,NA,NA,NA,NA,Valid,9670,Valid (existing),679883,Valid
4330,Kincaid Shelter [41UV2],NA,NA,9781585441945,"Bousman, C. Britt, Baker, B.W., and Kerr, A.C. ""Paleoindian Archeology in Texas"". Ch. 2 in Perttula, T. The Prehistory of Texas. United States: Texas A&M University Press, 2004.",2,5331,KINCADSH,literature search,81560,Zone 5,52394,Tx-63,7900,800,800,FALSE,unknown,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,4,2,FALSE,NA,NA,NA,NA,Valid,9670,Valid (existing),679884,Valid
4353,Fairport Harbor [33LA5],NA,10.1017/S0033822200036250,NA,NA,NA,5355,FAIRPORT,literature search,81593,Assemblage,52395,M-2069,180,100,100,FALSE,charcoal,NA,NA,NA,NA,NA,NA,NA,NA,NA,date rejected as contaminated,2,NA,NA,NA,TRUE,4,2,FALSE,NA,NA,NA,NA,Valid,61388,Valid (added),679885,Valid
4415,Back Creek Cave #2,16894,NA,NA,NA,NA,5417,BACKCRK,researcher contributed,81699,Assemblage,52396,CAMS-16406,520,60,60,FALSE,"bone, Neotoma floridana Mandible, Carnegie Museum CM-38466",Neotoma floridana,NA,Mandible,NA,29,Carnegie Museum,NA,CM-38466,NA,NA,1,NA,NA,NA,NA,4,2,FALSE,NA,NA,NA,NA,Valid,9695,Valid (existing),679886,Valid
4415,Back Creek Cave #2,16894,NA,NA,NA,NA,5417,BACKCRK,researcher contributed,81699,Assemblage,52397,CAMS-16610,710,60,60,FALSE,"bone, Neotoma floridana Mandible, Carnegie Museum CM-38466",Neotoma floridana,NA,Mandible,NA,29,Carnegie Museum,NA,CM-38466,NA,NA,1,NA,NA,NA,NA,4,2,FALSE,NA,NA,NA,NA,Valid,9695,Valid (existing),679887,Valid
4415,Back Creek Cave #2,16894,NA,NA,NA,NA,5417,BACKCRK,researcher contributed,81699,Assemblage,52398,CAMS-16412,17620,60,100,FALSE,"bone, Microtus xanthognathus Mandible, Carnegie Museum CM-38473",Microtus xanthognathus,NA,Mandible,NA,29,Carnegie Museum,NA,CM-38473,NA,NA,1,NA,NA,NA,NA,4,2,FALSE,NA,NA,NA,NA,Valid,9695,Valid (existing),679888,Valid
4419,Merrell [24BE1659],NA,10.1016/j.quaint.2004.04.016,NA,NA,NA,5421,MERRELL,literature search,81705,Assemblage,52399,Beta-83614,41940,NA,NA,TRUE,"bone, Proboscidea",Proboscidea,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,4,2,FALSE,NA,NA,NA,NA,Valid,9698,Valid (existing),679889,Valid
4419,Merrell [24BE1659],NA,10.1016/j.quaint.2004.04.016,NA,NA,NA,5421,MERRELL,literature search,81705,Assemblage,52400,Beta-36206,33900,NA,NA,TRUE,"bone, Proboscidea",Proboscidea,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,4,2,FALSE,NA,NA,NA,NA,Valid,9698,Valid (existing),679890,Valid
4451,Bruly St. Martin [Grand Bayou] [IV 6],NA,10.1017/S0033822200001454,NA,NA,NA,5453,BRULYMAR,literature search,81741,Unit E,52401,UGa-335,1275,60,60,FALSE,charcoal,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,4,2,FALSE,NA,NA,NA,NA,Valid,61389,Valid (added),679891,Valid
4451,Bruly St. Martin [Grand Bayou] [IV 6],NA,10.1017/S0033822200001454,NA,NA,NA,5453,BRULYMAR,literature search,81738,Unit B,52402,UGa-329,1240,65,65,FALSE,charcoal,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,4,2,FALSE,NA,NA,NA,NA,Valid,61389,Valid (existing),679892,Valid
4451,Bruly St. Martin [Grand Bayou] [IV 6],NA,10.1017/S0033822200001454,NA,NA,NA,5453,BRULYMAR,literature search,81740,Unit D,52403,UGa-330,1555,70,70,FALSE,charcoal,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,4,2,FALSE,NA,NA,NA,NA,Valid,61389,Valid (existing),679893,Valid
4451,Bruly St. Martin [Grand Bayou] [IV 6],NA,10.1017/S0033822200001454,NA,NA,NA,5453,BRULYMAR,literature search,81739,Unit C,52404,UGa-331,1380,185,185,FALSE,charcoal,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,4,2,FALSE,NA,NA,NA,NA,Valid,61389,Valid (existing),679894,Valid
4461,Mangrum [3CG636],NA,10.1017/S0033822200044131,NA,NA,NA,5476,MANGRUM,literature search,81770,Assemblage,52405,Tx-3073,930,50,50,FALSE,charcoal,NA,NA,NA,NA,NA,NA,NA,NA,28-73cm,NA,2,NA,NA,NA,NA,4,2,FALSE,NA,NA,NA,NA,Valid,61390,Valid (added),679895,Valid
4461,Mangrum [3CG636],NA,10.1017/S0033822200044131,NA,NA,NA,5476,MANGRUM,literature search,81770,Assemblage,52406,Tx-3074,990,60,60,FALSE,charcoal,NA,NA,NA,NA,NA,NA,NA,NA,28-73cm,NA,2,NA,NA,NA,NA,4,2,FALSE,NA,NA,NA,NA,Valid,61390,Valid (existing),679896,Valid
4466,Mound [40LK3],NA,NA,9780817308070,"McNutt, C. Prehistory of the Central Mississippi Valley. United States: University of Alabama Press, 1996.",4,5481,MOUND,literature search,81776,Feature 2,52407,Beta-67233,740,60,60,FALSE,charcoal,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,4,2,FALSE,NA,NA,NA,NA,Valid,61391,Valid (added),679897,Valid
4466,Mound [40LK3],NA,NA,9780817308070,"McNutt, C. Prehistory of the Central Mississippi Valley. United States: University of Alabama Press, 1996.",4,5481,MOUND,literature search,81775,Feature 1,52408,Tx-5916,1040,60,60,FALSE,charcoal,NA,NA,NA,NA,NA,NA,NA,NA,NA,date rejected by author,2,NA,NA,NA,TRUE,4,2,FALSE,NA,NA,NA,NA,Valid,61391,Valid (existing),679898,Valid
4466,Mound [40LK3],NA,NA,9780817308070,"McNutt, C. Prehistory of the Central Mississippi Valley. United States: University of Alabama Press, 1996.",4,5481,MOUND,literature search,81776,Feature 2,52409,Tx-5915,1050,70,70,FALSE,charcoal,NA,NA,NA,NA,NA,NA,NA,NA,NA,date rejected by author,2,NA,NA,NA,TRUE,4,2,FALSE,NA,NA,NA,NA,Valid,61391,Valid (existing),679899,Valid
4466,Mound [40LK3],NA,NA,9780817308070,"McNutt, C. Prehistory of the Central Mississippi Valley. United States: University of Alabama Press, 1996.",4,5481,MOUND,literature search,81775,Feature 1,52410,Tx-6859,1000,200,200,FALSE,charcoal,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,4,2,FALSE,NA,NA,NA,NA,Valid,61391,Valid (existing),679900,Valid
4478,Alexander [3CN117],NA,NA,NA,"Nassaney, Michael S. “THE HISTORICAL AND ARCHAEOLOGICAL CONTEXT OF PLUM BAYOU CULTURE IN CENTRAL ARKANSAS.” Southeastern Archaeology 13, no. 1 (1994): 36–55. http://www.jstor.org/stable/40713016.",1,5493,ALEXANDR,literature search,81790,Mississippian,52411,GX8830,825,150,150,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,4,2,FALSE,NA,NA,NA,NA,Valid,61392,Valid (added),679901,Valid
4478,Alexander [3CN117],NA,NA,NA,"Nassaney, Michael S. “THE HISTORICAL AND ARCHAEOLOGICAL CONTEXT OF PLUM BAYOU CULTURE IN CENTRAL ARKANSAS.” Southeastern Archaeology 13, no. 1 (1994): 36–55. http://www.jstor.org/stable/40713016.",1,5493,ALEXANDR,literature search,81791,Coles Creek,52412,GX8831,1220,160,160,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,4,2,FALSE,NA,NA,NA,NA,Valid,61392,Valid (existing),679902,Valid
4478,Alexander [3CN117],NA,NA,NA,"Nassaney, Michael S. “THE HISTORICAL AND ARCHAEOLOGICAL CONTEXT OF PLUM BAYOU CULTURE IN CENTRAL ARKANSAS.” Southeastern Archaeology 13, no. 1 (1994): 36–55. http://www.jstor.org/stable/40713016.",1,5493,ALEXANDR,literature search,81791,Coles Creek,52413,GX8832,1615,160,160,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,4,2,FALSE,NA,NA,NA,NA,Valid,61392,Valid (existing),679903,Valid
4482,Ink Bayou [3PU252],NA,NA,NA,"Drake, Eric Chadwick, ""Exploring the Social Dimensions of Grog-Temper Use at the Ink Bayou Site (3PU252): A Plum Bayou Culture Site in Central Arkansas"" (2001). Masters Theses 3884, Western Michigan University.",5,5498,INKBAYOU,literature search,81804,Feature 662,52414,SMU-1524,1039,137,137,FALSE,hickory nut shell,Carya,NA,nutshell,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,4,2,FALSE,NA,NA,NA,NA,Valid,61393,Valid (added),679904,Valid
4518,Walker-Hooper [47GL65],NA,10.1017/S0033822200011115,NA,NA,NA,5534,WALKHOOP,literature search,81855,Assemblage,52415,WIS-268,710,45,45,FALSE,charcoal,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Feature 8, Level 4",2,NA,NA,NA,NA,4,2,FALSE,NA,NA,NA,NA,Valid,61394,Valid (added),679905,Valid
4518,Walker-Hooper [47GL65],NA,10.1017/S0033822200011115,NA,NA,NA,5534,WALKHOOP,literature search,81855,Assemblage,52416,WIS-270,720,55,55,FALSE,charcoal,NA,NA,NA,NA,NA,NA,NA,NA,1.5-2 ft,Feature 20,2,NA,NA,NA,NA,4,2,FALSE,NA,NA,NA,NA,Valid,61394,Valid (existing),679906,Valid
4518,Walker-Hooper [47GL65],NA,10.1017/S0033822200011115,NA,NA,NA,5534,WALKHOOP,literature search,81855,Assemblage,52417,WIS-277,750,55,55,FALSE,charcoal,NA,NA,NA,NA,NA,NA,NA,NA,2-2.5 ft,"Feature 67, Test Pit 45, Level 4",2,NA,NA,NA,NA,4,2,FALSE,NA,NA,NA,NA,Valid,61394,Valid (existing),679907,Valid
4518,Walker-Hooper [47GL65],NA,10.1017/S0033822200064560,NA,NA,NA,5534,WALKHOOP,literature search,81855,Assemblage,52418,WIS-290,740,50,50,FALSE,charcoal,NA,NA,NA,NA,NA,NA,NA,NA,0.8-1.3 ft,"Feature 67, Level 1",2,NA,NA,NA,NA,4,2,FALSE,NA,NA,NA,NA,Valid,61394,Valid (existing),679908,Valid
4527,Schmidt [20SA192],NA,10.1017/S0033822200019937,NA,NA,NA,5543,SCHMDTMI,literature search,81864,Assemblage,52419,M-1733,5400,200,200,FALSE,charcoal,NA,NA,NA,NA,NA,NA,NA,NA,4-5 ft,NA,2,NA,NA,NA,NA,4,2,FALSE,NA,NA,NA,NA,Valid,61395,Valid (added),679909,Valid
4527,Schmidt [20SA192],NA,10.1017/S0033822200019937,NA,NA,NA,5543,SCHMDTMI,literature search,81864,Assemblage,52420,M-1731,6550,250,250,FALSE,charcoal,NA,NA,NA,NA,NA,NA,NA,NA,3 ft,NA,2,NA,NA,NA,NA,4,2,FALSE,NA,NA,NA,NA,Valid,61395,Valid (existing),679910,Valid
4527,Schmidt [20SA192],NA,10.1017/S0033822200019937,NA,NA,NA,5543,SCHMDTMI,literature search,81864,Assemblage,52421,M-1732,6650,250,250,FALSE,charcoal,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,4,2,FALSE,NA,NA,NA,NA,Valid,61395,Valid (existing),679911,Valid
4527,Schmidt [20SA192],NA,10.1017/S0033822200019937,NA,NA,NA,5543,SCHMDTMI,literature search,81864,Assemblage,52422,M-1734,8100,500,500,FALSE,charcoal,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,4,2,FALSE,NA,NA,NA,NA,Valid,61395,Valid (existing),679912,Valid
4567,Jeppson [West Richland] [CO151],NA,10.1016/j.quaint.2004.04.016,NA,NA,NA,5583,JEPPSON,literature search,81940,Touchet Beds,52423,NA,13000,NA,NA,TRUE,"bone, Proboscidea",Proboscidea,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,4,2,FALSE,NA,NA,NA,NA,Valid,61396,Valid (added),679913,Valid
4587,Mineral Hill Cave,NA,NA,NA,"Hockett, B., and E. Dillingham. ""Paleontological investigations at Mineral Hill Cave"".  Contribution to the study of cultural resources technical report No. 18. Reno: Department of the Interior, Bureau of Land Management (2004).",7,5603,MINHILCV,literature search,513805,Chamber 5,52424,Beta-145833,6320,40,40,FALSE,"bone, Crotaphytus sp.",Crotaphytus sp.,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,4,2,FALSE,NA,NA,NA,NA,Valid,9749,Valid (existing),679914,Valid
4587,Mineral Hill Cave,NA,NA,NA,"Hockett, B., and E. Dillingham. ""Paleontological investigations at Mineral Hill Cave"".  Contribution to the study of cultural resources technical report No. 18. Reno: Department of the Interior, Bureau of Land Management (2004).",7,5603,MINHILCV,literature search,513805,Chamber 5,52425,Beta-134243,9640,40,40,FALSE,"bone, Lynx rufus",Lynx rufus,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,4,2,FALSE,NA,NA,NA,NA,Valid,9749,Valid (existing),679915,Valid
4587,Mineral Hill Cave,NA,NA,NA,"Hockett, B., and E. Dillingham. ""Paleontological investigations at Mineral Hill Cave"".  Contribution to the study of cultural resources technical report No. 18. Reno: Department of the Interior, Bureau of Land Management (2004).",7,5603,MINHILCV,literature search,513805,Chamber 5,52426,Beta-134244,5640,40,40,FALSE,"bone, Marmota flaviventris",Marmota flaviventris,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,4,2,FALSE,NA,NA,NA,NA,Valid,9749,Valid (existing),679916,Valid
4587,Mineral Hill Cave,NA,NA,NA,"Hockett, B., and E. Dillingham. ""Paleontological investigations at Mineral Hill Cave"".  Contribution to the study of cultural resources technical report No. 18. Reno: Department of the Interior, Bureau of Land Management (2004).",7,5603,MINHILCV,literature search,513805,Chamber 5,52427,Beta-145664,5970,40,40,FALSE,"bone, Neotoma cinerea",Neotoma cinerea,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,4,2,FALSE,NA,NA,NA,NA,Valid,9749,Valid (existing),679917,Valid
4587,Mineral Hill Cave,NA,NA,NA,"Hockett, B., and E. Dillingham. ""Paleontological investigations at Mineral Hill Cave"".  Contribution to the study of cultural resources technical report No. 18. Reno: Department of the Interior, Bureau of Land Management (2004).",7,5603,MINHILCV,literature search,513805,Chamber 5,52428,CAMS-42820,2400,40,40,FALSE,Charcoal,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,4,2,FALSE,NA,NA,NA,NA,Valid,9749,Valid (existing),679918,Valid
4587,Mineral Hill Cave,NA,NA,NA,"Hockett, B., and E. Dillingham. ""Paleontological investigations at Mineral Hill Cave"".  Contribution to the study of cultural resources technical report No. 18. Reno: Department of the Interior, Bureau of Land Management (2004).",7,5603,MINHILCV,literature search,513805,Chamber 5,52429,CAMS-58433,3950,50,50,FALSE,"bone, Mustela frenata",Mustela frenata,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,4,2,FALSE,NA,NA,NA,NA,Valid,9749,Valid (existing),679919,Valid
